index,age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
11188,39,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
29330,53,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K
23412,36,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,50,United-States,<=50K
23388,23,Private,Assoc-acdm,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K
29877,34,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,42,United-States,>50K
14789,39,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,42,United-States,>50K
16479,58,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
16149,30,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,62,United-States,<=50K
29205,27,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,50,United-States,>50K
20464,31,Private,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,30,United-States,>50K
21152,47,Private,Bachelors,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
10177,61,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K
5284,35,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K
6371,28,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
22165,36,State-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K
26621,44,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
29379,34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
27834,28,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Female,40,United-States,<=50K
29697,52,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,44,United-States,>50K
24522,30,Private,Bachelors,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K
27499,58,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,>50K
17484,63,Private,12th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
1276,31,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,60,United-States,>50K
17682,33,Private,9th,Never-married,Other-service,Not-in-family,White,Male,45,El-Salvador,<=50K
17544,45,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,>50K
11843,26,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K
16289,59,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
5404,46,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
7974,49,Private,7th-8th,Never-married,Prof-specialty,Other-relative,Black,Male,45,United-States,<=50K
23105,32,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,<=50K
22323,23,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K
29353,32,Self-emp-inc,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
1896,28,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States,>50K
19314,32,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,38,Mexico,<=50K
4129,40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
28876,25,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,48,United-States,<=50K
28629,20,Private,Some-college,Never-married,Other-service,Own-child,White,Female,10,United-States,<=50K
14097,41,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
19278,27,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,40,United-States,<=50K
21874,45,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K
17687,36,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Female,38,United-States,<=50K
7502,24,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K
22018,44,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,41,United-States,<=50K
14712,40,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
23435,27,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
23460,45,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,45,China,>50K
27440,26,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,45,United-States,<=50K
9704,27,Private,Bachelors,Never-married,Tech-support,Own-child,White,Male,40,United-States,<=50K
12529,48,Private,Masters,Married-civ-spouse,Transport-moving,Husband,White,Male,55,United-States,>50K
3945,37,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80,United-States,>50K
25938,49,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
27725,27,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,52,United-States,<=50K
20458,39,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Wife,White,Female,45,United-States,<=50K
27687,28,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,24,United-States,<=50K
14248,27,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,Black,Female,40,United-States,<=50K
25401,43,Self-emp-not-inc,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,36,United-States,<=50K
2619,59,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,>50K
24907,53,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
19432,31,Private,9th,Never-married,Other-service,Own-child,White,Male,40,United-States,<=50K
7956,34,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
6314,49,Private,Some-college,Divorced,Tech-support,Other-relative,White,Male,35,United-States,<=50K
13823,30,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
24452,19,Private,11th,Never-married,Other-service,Other-relative,White,Male,30,United-States,<=50K
1887,42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
321,50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
2381,28,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,>50K
1579,25,Private,Bachelors,Never-married,Farming-fishing,Own-child,White,Male,50,United-States,>50K
21338,26,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K
23875,52,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,United-States,>50K
9231,43,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K
14839,27,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,<=50K
11016,36,Private,HS-grad,Separated,Adm-clerical,Own-child,Asian-Pac-Islander,Female,40,Philippines,<=50K
