index,age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
11188,39,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
6371,28,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
17484,63,Private,12th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
11843,26,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K
16289,59,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
5404,46,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
7974,49,Private,7th-8th,Never-married,Prof-specialty,Other-relative,Black,Male,45,United-States,<=50K
28876,25,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,48,United-States,<=50K
7502,24,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K
14712,40,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
20458,39,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Wife,White,Female,45,United-States,<=50K
25401,43,Self-emp-not-inc,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,36,United-States,<=50K
6314,49,Private,Some-college,Divorced,Tech-support,Other-relative,White,Male,35,United-States,<=50K
24452,19,Private,11th,Never-married,Other-service,Other-relative,White,Male,30,United-States,<=50K
1887,42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
9160,64,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,25,United-States,<=50K
1977,51,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
27323,38,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,United-States,>50K
25970,34,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K
8377,28,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,25,United-States,<=50K
